Trajectories;;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;
;;1 0;;;1 1;;;1 2;;;1 3;;;1 4;;;1 5;;;1 6;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
;;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm
52;0;-346.543884;-2087.373779;61.044159;655.777649;-2118.138184;55.011253;155.806839;-2587.744141;60.600574;632.929626;-3061.133789;54.643951;-354.316986;-3033.669189;59.768959;;;;;;
53;0;-346.546478;-2087.383545;61.037849;655.749023;-2118.138184;55.043713;155.81929;-2587.759766;60.625412;632.923584;-3061.121582;54.665936;-354.310333;-3033.678711;59.768574;;;;;;
54;0;-346.535522;-2087.356689;61.011005;655.78833;-2118.115479;55.022682;155.831131;-2587.743408;60.559914;632.980164;-3061.135498;54.662243;-354.316925;-3033.681641;59.735916;;;;;;
55;0;-346.537628;-2087.374268;61.013103;655.772644;-2118.158936;55.049007;155.810303;-2587.752197;60.590752;632.953186;-3061.121338;54.653816;-354.323944;-3033.701416;59.727863;;;;;;
56;0;-346.541931;-2087.356934;61.050358;655.761536;-2118.150879;55.019672;155.783615;-2587.752197;60.608944;632.914612;-3061.138428;54.669365;-354.359497;-3033.696777;59.788849;;;;;;
57;0;-346.568848;-2087.337646;61.007538;655.757812;-2118.145996;55.049324;155.767288;-2587.771729;60.604515;632.920227;-3061.119385;54.653488;-354.36673;-3033.70166;59.789368;;;;;;
58;0;-346.569916;-2087.355713;61.016514;655.780762;-2118.171875;55.064419;155.782333;-2587.738281;60.59341;632.934387;-3061.134521;54.683395;-354.37027;-3033.713379;59.755184;;;;;;
59;0;-346.535828;-2087.345703;60.995796;655.809937;-2118.122314;55.01815;155.795349;-2587.780762;60.613358;632.923584;-3061.124268;54.685402;-354.353455;-3033.69458;59.780468;;;;;;
60;0;-346.554962;-2087.356445;60.993336;655.760498;-2118.141846;55.034035;155.797241;-2587.761475;60.590458;632.937988;-3061.116455;54.64307;-354.336761;-3033.697998;59.742641;;;;;;
61;0;-346.558746;-2087.400879;61.051338;655.80481;-2118.133301;55.046391;155.802582;-2587.751709;60.567818;632.925049;-3061.133057;54.681629;-354.370331;-3033.696045;59.768097;;;;;;
62;0;-346.561096;-2087.374512;61.031738;655.772888;-2118.128662;55.010609;155.773621;-2587.760498;60.56472;632.893372;-3061.1521;54.614021;-354.382202;-3033.688477;59.7649;;;;;;
63;0;-346.568024;-2087.394043;61.058632;655.787781;-2118.122314;55.026997;155.805267;-2587.755859;60.568436;632.923706;-3061.133789;54.653728;-354.355469;-3033.693359;59.758011;;;;;;
64;0;-346.539001;-2087.379883;61.057774;655.741455;-2118.176514;55.216579;155.816376;-2587.764893;60.579811;632.936218;-3061.114258;54.65831;-354.364716;-3033.671387;59.733215;;;;;;
65;0;-346.537811;-2087.361572;61.041492;655.796509;-2118.138184;55.043503;155.774689;-2587.747803;60.607929;632.901855;-3061.133545;54.661011;-354.347717;-3033.705078;59.759872;;;;;;
66;0;-346.527435;-2087.37207;60.994385;655.699463;-2118.184814;55.266258;155.831543;-2587.756836;60.607445;632.914978;-3061.113525;54.680874;-354.355896;-3033.696289;59.805283;;;;;;
67;0;-346.54129;-2087.350586;60.993065;655.783264;-2118.134033;55.05825;155.779892;-2587.742188;60.605183;632.946045;-3061.127441;54.674183;-354.345154;-3033.686035;59.786446;;;;;;
68;0;-346.521576;-2087.366699;61.017677;655.702148;-2118.169189;55.262547;155.766083;-2587.736084;60.591629;632.940857;-3061.113037;54.648964;-354.352661;-3033.69165;59.808968;;;;;;
69;0;-346.543518;-2087.37085;60.975319;655.808289;-2118.099609;55.038307;155.779999;-2587.749023;60.583351;632.903381;-3061.123779;54.635086;-354.378387;-3033.669189;59.747471;;;;;;
70;0;-346.527832;-2087.391113;61.069962;655.786865;-2118.116699;55.026592;155.814972;-2587.749268;60.59129;632.9328;-3061.133301;54.625809;-354.363403;-3033.702393;59.749435;;;;;;
71;0;-346.534943;-2087.373291;61.039211;655.712708;-2118.179932;55.196735;155.825394;-2587.755615;60.599846;632.915527;-3061.124756;54.65427;-354.351898;-3033.693115;59.749302;;;;;;
72;0;-346.531342;-2087.360596;61.003407;655.774231;-2118.138672;55.010429;155.803177;-2587.739258;60.598198;632.899292;-3061.139893;54.620392;-354.342468;-3033.677734;59.757336;;;;;;
73;0;-346.553711;-2087.381104;61.03455;655.752808;-2118.125977;54.983631;155.828949;-2587.749756;60.578415;632.912903;-3061.151855;54.629208;-354.339142;-3033.688477;59.723534;;;;;;
